# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Jun 21 02:14:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.04681, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0001 -2.19174 10.00000 0.8254300952 2.4273037910    0.824  0.640  3.8242  3.962    1  0.000  0.529     0.00     0.00 -1 -6.28e-13      0.00 8.488e-01 1.511e-01 1.203e-05 3.313e-06 3.031e-05 -1.000 1.000e-04 3.169 4.298 3.435 3.243 3.207 3.229
0.0001 -2.19174 10.00000 0.8275688291 2.4279978275    0.826  0.679  3.8179  3.900    2  0.000  0.529     0.00     0.00 -1 -7.34e-13      0.00 8.482e-01 1.517e-01 1.207e-05 3.324e-06 3.041e-05 -1.000 1.000e-04 3.073 4.214 3.352 3.144 3.098 3.113
0.0001 -2.19174 10.00000 0.8291981816 2.4285237789    0.827  0.712  3.8102  3.836    2  0.000  0.529     0.00     0.00 -1 -8.53e-13      0.00 8.477e-01 1.522e-01 1.210e-05 3.332e-06 3.048e-05 -1.000 9.997e-05 2.989 4.144 3.286 3.056 2.998 3.004
0.0001 -2.19174 10.00000 0.8304694295 2.4289324284    0.829  0.743  3.8011  3.770    2  0.000  0.529     0.00     0.00 -1 -9.86e-13      0.00 8.473e-01 1.526e-01 1.212e-05 3.339e-06 3.054e-05 -1.000 9.993e-05 2.913 4.087 3.234 2.975 2.903 2.898
0.0001 -2.19174 10.00000 0.8314917684 2.4292600155    0.830  0.771  3.7910  3.702    2  0.000  0.529     0.00     0.00 -1 -1.14e-12      0.00 8.470e-01 1.529e-01 1.214e-05 3.345e-06 3.060e-05 -1.000 8.632e-05 2.842 4.044 3.192 2.901 2.812 2.796
0.0001 -2.19174 10.00000 0.8323430419 2.4295320511    0.830  0.797  3.7806  3.635    2  0.000  0.529     0.00     0.00 -1 -1.31e-12      0.00 8.429e-01 1.571e-01 1.238e-05 3.410e-06 3.118e-05 -1.000 6.822e-05 2.777 4.011 3.157 2.833 2.727 2.698
0.0001 -2.19174 10.00000 0.8330845237 2.4297685623    0.831  0.822  3.7708  3.571    2  0.000  0.531     0.00     0.00 -1 -1.49e-12      0.00 8.236e-01 1.763e-01 1.348e-05 3.704e-06 3.381e-05 -1.000 4.196e-05 2.714 3.988 3.123 2.768 2.646 2.606
0.0001 -2.19174 10.00000 0.8337684870 2.4299862385    0.832  0.849  3.7620  3.509    2  0.000  0.534     0.00     0.00 -1  -1.7e-12      0.00 7.996e-01 2.004e-01 1.486e-05 4.072e-06 3.710e-05 -1.000 6.998e-05 2.648 3.961 3.084 2.700 2.564 2.514
0.0001 -2.19174 10.00000 0.8344549537 2.4302043915    0.832  0.884  3.7541  3.443    2  0.000  0.536     0.00     0.00 -1 -1.98e-12      0.00 7.817e-01 2.182e-01 1.590e-05 4.350e-06 3.957e-05 -1.000 1.000e-04 2.561 3.920 3.024 2.613 2.463 2.404
0.0001 -2.19174 10.00000 0.8349917531 2.4303746223    0.833  0.920  3.7491  3.387    2  0.000  0.536     0.00     0.00 -1  -2.3e-12      0.00 7.743e-01 2.256e-01 1.632e-05 4.464e-06 4.059e-05 -1.000 1.000e-04 2.471 3.862 2.952 2.523 2.365 2.299
0.0001 -2.19174 10.00000 0.8355230093 2.4305429459    0.833  0.963  3.7450  3.328    2  0.000  0.537     0.00     0.00 -1 -2.72e-12      0.00 7.700e-01 2.299e-01 1.658e-05 4.531e-06 4.119e-05 -1.000 1.000e-04 2.362 3.782 2.858 2.415 2.250 2.179
0.0001 -2.19174 10.00000 0.8356020451 2.4305679798    0.833  0.971  3.7445  3.318    3  0.000  0.536     0.00     0.00 -1 -2.81e-12      0.00 7.696e-01 2.304e-01 1.660e-05 4.538e-06 4.125e-05 -1.000 2.821e-05 2.344 3.767 2.841 2.397 2.231 2.159
0.0001 -2.19174 10.00000 0.8360363841 2.4307053089    0.834  1.012  3.7421  3.267    3  0.000  0.537     0.00     0.00 -1 -3.26e-12      0.00 7.672e-01 2.327e-01 1.672e-05 4.570e-06 4.154e-05 -1.000 1.000e-04 2.239 3.679 2.745 2.293 2.123 2.048
0.0001 -2.19174 10.00000 0.8365163803 2.4308569431    0.834  1.062  3.7397  3.208    3  0.000  0.537     0.00     0.00 -1  -3.9e-12      0.00 7.649e-01 2.350e-01 1.682e-05 4.599e-06 4.179e-05 -1.000 7.471e-05 2.115 3.574 2.631 2.170 1.996 1.918
0.0001 -2.19174 10.00000 0.8369216323 2.4309847355    0.834  1.106  3.7379  3.157    3  0.000  0.537     0.00     0.00 -1 -4.59e-12      0.00 7.633e-01 2.366e-01 1.690e-05 4.618e-06 4.196e-05 -1.000 9.820e-05 2.004 3.478 2.526 2.060 1.883 1.803
0.0001 -2.19174 10.00000 0.8373119235 2.4311077595    0.835  1.152  3.7363  3.105    3  0.000  0.537     0.00     0.00 -1 -5.41e-12      0.00 7.618e-01 2.381e-01 1.695e-05 4.633e-06 4.211e-05 -1.000 1.000e-04 1.891 3.379 2.419 1.948 1.769 1.687
0.0001 -2.19174 10.00000 0.8376753330 2.4312219620    0.835  1.196  3.7347  3.054    3  0.000  0.537     0.00     0.00 -1 -6.36e-12      0.00 7.603e-01 2.396e-01 1.699e-05 4.646e-06 4.221e-05 -1.000 1.000e-04 1.779 3.280 2.313 1.838 1.656 1.571
0.0001 -2.19174 10.00000 0.8380178213 2.4313297272    0.835  1.242  3.7332  3.003    3  0.000  0.537     0.00     0.00 -1 -7.48e-12      0.00 7.590e-01 2.409e-01 1.703e-05 4.656e-06 4.230e-05 -1.000 9.996e-05 1.666 3.179 2.206 1.726 1.542 1.456
0.0001 -2.19174 10.00000 0.8383605480 2.4314374924    0.836  1.290  3.7317  2.949    3  0.000  0.536     0.00     0.00 -1  -8.9e-12      0.00 7.577e-01 2.422e-01 1.705e-05 4.668e-06 4.238e-05 -1.000 8.242e-05 1.545 3.071 2.090 1.605 1.419 1.331
0.0001 -2.19174 10.00000 0.8386567831 2.4315304756    0.836  1.335  3.7302  2.897    3  0.000  0.535     0.00     0.00 -1 -1.05e-11      0.00 7.566e-01 2.433e-01 1.705e-05 4.681e-06 4.245e-05 -1.000 9.336e-05 1.431 2.971 1.982 1.493 1.304 1.214
0.0001 -2.19174 10.00000 0.8389481306 2.4316217899    0.836  1.384  3.7287  2.843    3  0.000  0.535     0.00     0.00 -1 -1.25e-11      0.00 7.556e-01 2.443e-01 1.703e-05 4.698e-06 4.249e-05 -1.000 9.996e-05 1.311 2.866 1.867 1.374 1.182 1.090
0.0001 -2.19174 10.00000 0.8392127156 2.4317047596    0.836  1.431  3.7272  2.790    3  0.000  0.533     0.00     0.00 -1 -1.48e-11      0.00 7.546e-01 2.453e-01 1.700e-05 4.727e-06 4.253e-05 -1.000 1.000e-04 1.192 2.761 1.754 1.256 1.062 0.969
0.0001 -2.19174 10.00000 0.8394520283 2.4317796230    0.836  1.478  3.7257  2.737    3  0.000  0.531     0.00     0.00 -1 -1.75e-11      0.00 7.538e-01 2.461e-01 1.695e-05 4.766e-06 4.257e-05 -1.000 9.997e-05 1.076 2.660 1.644 1.141 0.945 0.849
0.0001 -2.19174 10.00000 0.8396702409 2.4318478107    0.836  1.524  3.7241  2.685    3  0.000  0.529     0.00     0.00 -1 -2.07e-11      0.00 7.531e-01 2.468e-01 1.689e-05 4.816e-06 4.260e-05 -1.000 9.997e-05 0.961 2.558 1.535 1.027 0.828 0.731
0.0001 -2.19174 10.00000 0.8398764133 2.4319124222    0.836  1.571  3.7226  2.631    3  0.000  0.527     0.00     0.00 -1 -2.45e-11      0.00 7.525e-01 2.474e-01 1.684e-05 4.864e-06 4.262e-05 -1.000 9.996e-05 0.841 2.453 1.421 0.909 0.708 0.608
